D1,D2,title,cluster
-17.620466,6.300313,Devotion - Original Soundtracks,0
-16.989079,6.1168847,Brighter Day,0
-19.510424,7.9740424,Brutalism,0
-21.158741,7.1211567,Ghost Case,0
-20.100561,8.829733,Bloody Mary: Forgotten Curse,0
-18.464268,1.3141898,Blind Trust,0
3.6734784,24.03821,Goosebumps Dead of Night,0
-6.314978,2.348243,Tea Party Simulator 2015™,0
-17.327679,-15.192707,Find Me: Horror Game,0
-19.853115,9.002466,Vernon's Legacy,0
-18.23884,1.1076176,The Parallax Effect,0
-20.430618,8.926438,Go To Bed: Survive The Night,0
-17.660015,-12.46164,Perceptions of the Dead 2,0
-19.302658,7.179985,Terror for Two,0
-25.182325,-11.535268,Ancient Guardian,0
-24.99453,-4.5380597,Atramentum VR,0
-19.29359,7.7240014,Anomalia,0
-19.600306,8.53764,Desert of Vice,0
23.839855,19.22054,Alpha Polaris : A Horror Adventure Game,0
-18.17154,9.114601,THE ENIGMA MACHINE,0
-16.445557,4.18213,Left 4 Dead 2 Dedicated Server,0
-16.691298,-13.458879,REVERSE SIDE Demo,0
-17.666653,-14.309415,Hush Hush - Unlimited Survival Horror,0
-20.174482,8.797089,Near Midnight,0
-15.654147,-0.7955454,Batman™: Arkham VR,0
23.487484,20.31141,Call of Cthulhu: Shadow of the Comet,0
-19.755352,10.552644,Cluck Yegger in Escape From The Planet of The Poultroid,0
-3.471173,14.173977,Mr. Hopp's Playhouse 2,0
-18.018953,6.4002514,ANDROMALIUS,0
-17.789177,5.685934,Cyrano Story,0
-30.363203,-7.3213654,D.F.R.: The Light VR,0
-21.798958,-0.8742178,Before Arriving at the Terminal,0
-20.870056,8.671921,The Dolls: Reborn,0
-18.239475,9.38176,Ian's Eyes,0
-24.87936,-12.142357,Dezzan,0
18.568876,13.272204,The Walking Fish 2: Final Frontier,0
-17.992355,6.549136,Disillusions Manga Horror,0
-20.853333,7.164289,Project Pulsation,0
-16.66679,13.294488,Sang-Froid - Tales of Werewolves,0
-20.174482,8.797089,NUMB,0
-18.468956,8.753104,The Naked Game,0
-17.112383,-14.395526,Shattered,0
-17.724998,5.9009385,The Lovebirds,0
-3.3703816,11.447233,Elder Sign: Omens,0
-16.079962,6.8082066,PAGAN: Autogeny,0
-19.1494,8.952304,The Warden,0
-26.973806,-10.570087,Kingdom City Drowning Episode 1 - The Champion,0
-17.290274,7.1784973,The Initiate,0
2.3597274,4.272108,Shattered Haven,0
2.0731802,7.7626433,Puzzle Party,0
-10.118382,4.472118,Demented,0
-16.666855,-14.896749,Stay Close,0
24.905228,7.5581427,Bucket Detective,0
-21.069754,9.845377,Where's Home?,0
-20.581184,7.476677,10 Years After,0
-20.789925,9.4967575,PAGUI打鬼,0
-20.873657,-15.88214,The Other Side Of The Screen,0
-15.55323,-14.478191,Boogeyman,0
-20.690132,8.676345,The Shedding,0
-17.553383,6.8844967,ENKI,0
-16.44555,4.1821284,Left 4 Dead 2 Dedicated Server,0
5.1953335,-20.606075,Vortex: The Gateway,0
-30.363121,-7.3213654,Mike was Сursed,0
23.335672,20.474573,Deep Sleep Trilogy,0
0.74830323,-0.36277044,Daily Chthonicle: Editor's Edition,0
-20.100561,8.829733,Dark Night,0
-9.810409,4.2425838,Simple Fear,0
-18.668451,3.9396176,Nyctophilia,0
-28.957436,-10.2102585,UNHALLOWED: THE CABIN,0
-19.349993,7.381186,Lethe - Episode One,0
-17.266985,-4.6433187,Cleansuit,0
23.299623,20.450293,Session Seven,0
-17.17434,6.8785353,Umfend,0
-20.100561,8.829734,Alone K.W.,0
-15.894037,-15.013612,Room 208,0
-16.277143,3.4612942,Zomby Soldier,0
-6.338473,2.4686074,REVENGER: Age of Morons,0
-18.977953,8.882392,Night Catcher,0
-20.19443,8.764638,Pain of War,0
-18.58745,7.889987,The Ball,0
-14.912037,7.5428524,Bear Haven Nights,0
-17.69684,6.315015,Archimedes,0
-28.957422,-10.210265,UNHALLOWED: THE CABIN,0
-24.884548,-12.18789,Unrest Indigo,0
-21.894579,-29.412878,Summer Nightmare,0
-1.7573185,28.05272,Memory Eater,0
-28.14465,-24.34143,Ayumi: Enhanced Edition,0
23.321104,20.292982,Chronicle of Innsmouth,0
-13.16138,-1.0438342,The Manse on Soracca,0
-21.083855,8.792523,Hacker.exe,0
-16.292135,-14.886741,Spaceman,0
-18.119524,6.0179267,SIMULACRA: Pipe Dreams,0
-17.32791,6.330895,ARAYA,0
-17.571466,-22.944809,String Tyrant,0
-30.434416,-8.3699875,Horror Adventure VR,0
-20.189589,8.801628,Lost Alone,0
-19.024088,7.7756214,House of Nightmares B-Movie Edition,0
-17.789177,5.685934,Cyrano Story,0
-16.445557,4.18213,Left 4 Dead 2 Dedicated Server,0
-17.393688,12.727605,Damned Nation Reborn,0
-19.311861,7.9233956,Ghost Stories,0
-28.90497,-9.556508,Heebie Jeebies: The Roller Coaster,0
-24.944023,-12.189117,Award. Room of fear,0
-15.85733,-0.9951808,Twin Peaks VR,0
-17.724998,5.9009385,The Lovebirds,0
-20.56321,9.63206,Lucid Nina,0
-22.596668,7.0688524,Ahnayro: The Dream World,0
-15.983506,-14.721255,Tower of Fate,0
-21.23466,9.429055,The Village,0
-19.659807,8.533651,Vein Hotel,0
-19.731016,9.720162,Sylvio Demo,0
-17.833921,6.9447594,SOMETHING,0
-20.100588,8.829757,Countless Rooms of Death,0
-17.91701,6.5493855,The Interview,0
23.516382,20.28644,No Ghost in Stay Home,0
-18.411781,-14.854801,Mount Hill,0
-15.466473,6.759145,12 HOURS,0
-17.214113,-14.334993,Back in 1995,0
-16.80678,-13.923106,Raptor Valley,0
1.79365,2.0824373,Dark Maze,0
23.335714,20.474546,A Room Beyond,0
-20.100561,8.829734,"1,000 Heads Among the Trees",0
28.904003,10.060072,Hidden: On the trail of the Ancients,0
-18.432434,8.909568,SAWKOBAN,0
-16.20903,-13.354782,RuinsCity_VR,0
-20.735392,9.529943,缸中之脑：谎言（Brain in a vat lies）,0
-20.2767,8.751755,The Hateful Dead,0
-20.26732,8.587541,Fear of Clowns,0
-16.197521,-13.455883,Bernie’s Nightmare,0
-21.147362,8.598899,Insert Paper,0
-19.17554,10.231612,Keys,0
-22.793299,-2.4464538,Arachnophobia,0
-17.432951,-13.940375,BUDDY,0
-19.1494,8.952304,In The Shadow Of The Truth,0
-6.0986614,-19.39692,VGL: Imperative,0
-20.950676,2.2385046,The Secret of Pineview Forest,0
-10.26211,12.21214,Yomawari: Midnight Shadows,0
-20.267323,8.587541,Horror in the Asylum,0
-25.054209,-4.6861835,Montas,0
-17.0512,-14.163743,Dark Days of Horror,0
-20.689825,8.682463,Who Must Die,0
3.7156906,-15.355342,Mahasona,0
-17.559212,6.7430277,Joana's Life,0
-0.06209971,-2.072686,Sophie's Curse,0
-16.554832,-14.996527,V.T.,0
27.825903,10.8693695,Dark Fall: Lost Souls,0
-17.6906,6.5183773,3rd eye,0
-19.815807,9.653621,The Ritual on Weylyn Island,0
3.0286348,4.829957,快乐小家 Home Sick,0
-21.028633,7.929581,Wooden Floor 2 - Resurrection,0
-19.330477,9.32107,Oculto,0
-18.012793,9.053702,Descent - Silence of Mind,0
-19.564339,10.042727,The Overdreamer,0
1.4163888,-20.293156,Foglight Online,0
-19.704754,9.796857,Sylvio 2,0
-10.060258,4.4685636,Space Hotel,0
-17.517157,6.8145366,ColdSide,0
6.0196753,1.8684591,Oddest Sea,0
-16.781519,-14.074417,SPAGHET 2: Al Dente Chapter,0
-18.243101,6.398429,Red Room,0
-22.585247,9.985491,Spooky Station,0
-20.174482,8.797089,Mimic,0
-20.29953,8.896764,Story of one Night,0
-20.100561,8.829733,Chicken in the Darkness,0
-18.993893,7.851484,Schizophrenia,0
-18.598267,7.822912,ENOH,0
-17.18079,-14.321418,Shadows 2: Perfidia,0
-17.774582,4.9679785,"Please, Don't Touch Anything 3D",0
-16.602304,-14.922813,Terror Lab,0
-26.995798,-10.554214,Grave: VR Prologue,0
-16.45676,-13.283237,Sophie's Guardian,0
-18.849682,7.874521,iREC,0
-2.6730523,-4.2416844,Hour Night,0
-20.408592,7.8034153,Bunker 58,0
-17.913795,6.6557918,Trace of the past,0
-24.863865,-12.166309,You Deserve,0
-20.202053,8.782993,Distorted Reality,0
-30.363203,-7.3213654,Vertigo Demo,0
-19.410233,7.0412636,Great Toilet Simulator,0
-17.708385,-20.371456,『絵話 -kaiwa-』,0
-17.053349,-14.347899,Devil's dream,0
-17.18174,-14.311351,Deliverance,0
-18.2864,8.730385,彼岸画廊/Nether Gallery,0
-16.966341,6.847231,Albino Lullaby: Episode 1,0
-30.363234,-7.3213944,Insane Decay of Mind: The Labyrinth,0
23.526161,20.566664,1HEART,0
-19.995705,9.091499,Anxiety,0
-16.78313,-13.983813,Death Damnation,0
-16.738934,-14.601051,Woodlands,0
-21.028688,7.929607,Wooden Floor,0
-20.690134,8.676346,One Final Breath™,0
-20.2767,8.751755,The Janitor,0
-6.338466,2.468608,THE ARCHER: Dead Hunt,0
-6.33845,2.4686172,I saw IT,0
-16.7107,8.109342,Stairs,0
-18.55439,-15.176765,123 Slaughter Me Street 2,0
-24.561014,-5.531619,Lost Circus VR - The Prologue,0
3.3455868,-11.326041,EggK47,0
-20.145794,8.933777,Inside: Before Birth,0
-16.008768,-1.2472583,PAGAN PEAK VR,0
-20.606207,7.9788556,Visitors,0
-17.608952,-15.218,THE DEVIL HAUNTS ME,0
-17.059582,-14.147278,Paper Dolls VR,0
-20.194435,8.764622,Absence,0
-5.7135696,-31.995237,Cthulhu Mythos RPG -The Sleeping Girl of the Miasma Sea-,0
-17.873806,8.551033,人中怪物多人版,0
23.526161,20.566664,Octave,0
2.0398617,2.0595899,Palphone-sama : Curse call,0
-17.785143,6.32814,Nekomew's Potty Trouble,0
23.166351,20.253153,Dark Fear,0
-17.861801,6.2195816,Sorry. (Entschuldigung) ~ A Psychological Horror Visual Novel,0
-18.467464,9.382677,Iris.Fall,0
-20.430622,8.926427,Horror Stories,0
-16.440659,-14.891441,Wrong train,0
-16.58626,9.4699,Lex Mortis,0
-24.821955,-12.1257305,Amberskull,0
-21.01955,10.525575,The Rosefinch Curse（Ning's Wing 1）,0
-20.39919,7.796252,Saturnine,0
-20.082197,-16.932339,Beyond Senses,0
-20.2767,8.751755,Timore Inferno,0
-1.8080381,28.030281,Biglands: A Game Made By Kids,0
-22.619774,-2.4871707,The Night The Carsons Disappeared,0
4.038389,-20.573439,Radiation Island,0
-17.97424,6.588354,The Disappearance of the Mitchells,0
-17.532671,6.642337,Father´s Island,0
-18.4514,10.366441,Trouble In The Manor,0
4.4387884,6.449304,this House,0
-16.424656,-14.932428,Emily Wants to Play Too,0
23.88469,20.314764,Without Escape,0
-1.3325005,8.982037,Reach,0
-18.900255,8.977181,Colorless Life,0
-19.366781,7.8559027,123 Slaughter Me Street,0
-17.666037,-20.701488,Zarya-1: Mystery on the Moon,0
-20.04498,7.597596,Paranormal,0
-18.103056,9.54592,REalM: Walk of Soul,0
-13.680395,4.858036,Kill The Bad Guy,0
-24.944021,-12.1891165,Escape until Friday,0
-19.641888,9.06108,Devil's Toy,0
-21.059725,-15.838932,Red Town,0
-20.421888,-16.836962,Suite 776,0
-20.100574,8.829757,The Renovator,0
-17.202486,6.9268074,CALENDULA,0
-20.82261,7.260217,All Evil Night,0
-20.100601,8.82978,BlackShadows,0
-18.690895,9.180235,【救世计划】红衣/SalvationPlan:SpiritEvil,0
-18.184483,8.750318,Blackbay Asylum,0
-8.14754,-0.09727101,Dead Climb,0
-18.096762,-15.793327,Doors of Silence - the prologue,0
10.581387,-2.1482966,City of Rott: Streets of Rott,0
-19.29985,10.181263,Call of Corona: Micro Warfare,0
-18.60282,9.427664,Poltergeist: A Pixelated Horror,0
-20.202055,8.782997,Reflecting Fate,0
-21.484205,9.834953,Guardian Of December,0
-16.456598,-15.252956,Hide and Seek,0
-19.843193,6.297182,COMA: Lost in the Maze,0
-20.626429,9.068657,Fear Of Nightmares: Madness Descent,0
-19.359179,7.915917,The Occupant,0
-16.614294,9.413602,EW/WE,0
-21.194742,-15.760842,WRONGED,0
-17.190304,-14.321667,Home Security,0
-16.822664,7.1590066,The Searchers of Legends : Origin,0
-18.215921,7.983513,Asylum of the Dead,0
23.947191,20.207552,The Last NightMary - A Lenda do Cabeça de Cuia,0
-3.5151982,26.620378,My Own Little Planet,0
-17.55106,7.046956,看白海豚的好日子 A Perfect Day for White Dolphin,0
-16.521862,-14.803495,Dreadful,0
-17.818254,6.7459726,DYING: Reborn,0
-19.087645,8.9672365,Obscuritas,0
-20.10059,8.829757,Like Clay,0
-1.2730179,12.745465,Castle of Venia,0
-16.514818,-14.809146,Psychic Isolation,0
-16.379784,-14.115275,Blue Effect VR,0
-26.136536,8.588112,Miss Cat,0
-10.072724,4.476852,Dissection,0
-17.30074,6.5903373,Layers of Fear VR,0
-19.728476,10.500063,The Troma Project,0
-18.128315,6.429967,Real Scary,0
-20.110188,7.394566,The Tower,0
-19.191998,8.32626,Doler,0
-20.174482,8.797089,Timore 5,0
-20.96584,7.8531656,Corridor 15 Firts,0
-16.783798,-13.615382,Quadrant,0
-19.75821,10.553258,Buddinpals - Take One Home With You !!,0
-20.2767,8.751755,The Nothing,0
-17.628431,5.906919,Jurassic Island: The Dinosaur Zoo,0
-22.619774,-2.4871707,The Night The Carsons Disappeared,0
-14.957284,6.6343117,A grande bagunça espacial - The big space mess,0
-16.423758,-0.6388643,theBlu,0
-17.537884,6.8523555,Hektor,0
-16.154955,-13.526039,Heaven Dust,0
-30.433619,-7.4405184,Abandoned Hospital VR,0
-16.831364,5.343877,Hero Boy,0
-21.06108,8.740375,Horror Fish Simulator,0
-19.350428,7.9911294,Root Of Evil: The Tailor,0
-15.06,7.502183,MOMO.EXE 2,0
-16.791517,-13.651295,Witchkin,0
-21.149084,-15.785784,The Inevitability,0
-30.569155,-7.5372133,The Tide,0
-24.011414,-6.421783,KOBOLD: Chapter I,0
-5.573546,11.795604,Mansions of Madness,0
-20.689825,8.6824665,The Bedtime Story,0
-17.21514,5.9396415,The Breadmaker,0
-20.208027,7.64012,My Safe House,0
-21.18722,8.802655,Who Is This Man,0
-19.459627,8.003143,The Final Take,0
-16.599152,-14.81812,Fear the Dark Unknown: Chloe,0
23.636484,27.216816,Appease the Spider,0
-20.62291,-13.629498,Soer Dolls,0
2.253693,7.801569,Baobabs Mausoleum Ep.2: 1313 Barnabas Dead End Drive,0
-20.17448,8.797079,Necro Immortallis,0
-3.1757545,12.010365,Fox & Flock,0
-17.323393,7.097386,Silent Descent,0
23.620394,20.44101,Barrow Hill: Curse of the Ancient Circle,0
23.412521,20.557037,Shiver,0
23.545645,20.473083,A Week of Circus Terror,0
-17.840416,10.489979,Offensive Dimensions,0
-15.761185,-0.41482118,RollerCoaster VR Universe,0
7.0779767,-1.3746256,Fossilfuel VR: Raptor Isolation,0
-24.124977,2.4212482,I must kill...: Fresh Meat,0
-19.520859,7.990366,Huntsman: The Orphanage (Halloween Edition),0
-21.579165,6.9158945,Get Out...,0
-17.28726,6.3051157,Bonbon,0
-19.704798,8.110006,The Flock,0
-17.156036,-14.234335,Binky show,0
-18.022966,4.579027,Charlotte,0
-20.202055,8.782993,STRASHILKA,0
-17.587957,4.909165,Good Morning World,0
-20.404903,7.72772,Ad Exitum,0
-20.100601,8.82978,Isolation,0
-17.015203,5.7681155,Intruders: Hide and Seek,0
20.69912,15.414453,Alone in the Dark 3,0
-17.148577,-14.301745,The Hilltop Mansion,0
-20.430618,8.926438,TAKEN,0
-15.149474,4.8613496,Secret Laboratory,0
-20.855106,10.213251,NashBored,0
-15.742725,-13.279023,Ghostship Aftermath,0
-18.271261,8.80648,Fragmented Mind,0
0.89427614,-19.799088,Dark Deception: Monsters & Mortals,0
-20.053692,7.6571336,Rothschild: The Sheep Will Wake,0
-17.97424,6.588354,Urban Legends : The Dry Body,0
-19.947779,8.896822,MÅRD,0
-18.18163,8.673646,Gil's Lucid Dreams,0
-17.253704,-14.252999,Ben The Exorcist,0
-28.915674,-10.184511,TheNightfall,0
-14.663066,6.408428,Trump Simulator VR,0
-14.94337,6.695903,One Night Two Crazies,0
-15.623576,-0.7922943,VR: Vacate the Room (Virtual Reality Escape),0
-17.800121,9.934863,Don't Chat With Strangers,0
-20.983541,-27.214039,Neighbor,0
-20.796282,-17.715988,Wire Lips,0
-17.948528,6.7447066,Carrots and Cream,0
23.484375,20.46691,Paradigm Shift,0
-21.034357,-17.41513,GHOUL,0
-12.605027,13.110164,In The Dark,0
-20.10059,8.829757,Overhead,0
-17.05618,-14.6019745,Sleeping Dawn,0
-24.070993,-8.346426,Daddy,0
-10.225455,12.248665,A Rose in the Twilight,0
-16.786983,6.3728,Fidelity,0
-20.174482,8.797089,Night Blights,0
-17.55106,7.046956,看白海豚的好日子 A Perfect Day for White Dolphin,0
-17.19176,-14.33112,Gone Astray,0
-18.25488,6.6373625,The Haunting: Blood Water Curse (EARLY ACCESS),0
-17.882874,9.135907,Home Darkness - Escape?,0
-20.845411,8.677578,One Night You're Crazy,0
-10.345489,10.788492,Cellar,0
-21.01955,10.525575,The Cube Hotel（Ning's Wing 2）,0
-20.202053,8.782993,MORTEM,0
-24.58713,-11.973606,Pursuer,0
-8.600648,7.8521924,Stage Fright,0
-16.577614,-14.819937,LIMINALPHOBIA,0
2.759454,1.3565984,Clash of Puppets,0
-19.804064,8.595076,Malebolgia,0
-20.362858,7.417606,The Last Look,0
-28.957422,-10.210265,UNHALLOWED: THE CABIN,0
-2.347406,-22.17474,Cold Fear™,0
-17.976154,6.5096273,Happy Maze,0
28.082191,10.482845,Masochisia,0
-16.452953,-14.929262,SCP-087: Recovered document,0
-16.970219,-14.0575,Enlysia,0
-24.884542,-12.18787,The Fragment,0
-17.190624,-14.315696,Fever Cabin,0
-20.276705,8.751755,Secret of Harrow Manor,0
-21.799175,-4.1531343,SurvHive,0
-24.62744,-12.033006,Blendy 2 Dolls Factory,0
-20.789925,9.4967575,Phantom Halls,0
23.526154,20.566662,Black Island,0
-20.277378,8.93338,Your Home,0
-19.520859,7.990366,Huntsman: The Orphanage (Halloween Edition),0
-17.310368,-14.285985,Days Under Custody,0
-18.757998,8.929771,Shutter,0
-20.4335,7.2688875,Hope is in 23,0
23.532078,20.416924,Naninights,0
-17.216667,-14.044575,Curse: The Eye of Isis,0
-17.310368,-14.285985,Days Under Custody,0
23.619247,20.192886,The Last Crown: Midnight Horror,0
-18.849684,7.874521,Worst Nightmare,0
-20.689825,8.682463,Russian AYE Horror,0
-16.599152,-14.81812,Fear the Dark Unknown,0
23.526161,20.566664,Black Island,0
0.5780013,1.7592613,与雾雨魔理沙一起偷重要的东西 ~ Happy Stealing with Kirisame Marisa,0
-30.363155,-7.3214025,ChainMan,0
-18.668428,3.9396214,Nyctophilia,0
-20.174482,8.797089,Nights at the Clown Maze,0
-30.436792,-8.218259,Dreadhalls,0
-20.408592,7.803416,Long Night,0
-18.680738,8.043993,Beastiarium,0
-18.199802,6.398222,Juken Jigoku | 受験地獄,0
-16.486864,-14.861299,Gevaudan,0
-21.260956,8.94078,Welcome Back Daddy,0
-8.05876,0.037383694,Zombie Pinball,0
-17.063099,-14.384238,Joe's Diner,0
3.4543607,1.288316,Fantastic Fishing,0
-20.621557,9.200995,One More Night: BiO Clinic,0
-17.995,-15.230455,The Designer's Curse,0
3.4896767,4.3845677,EGOS - Tales of Fallen Souls,0
-20.174482,8.797088,Bunny - The Horror Game,0
-17.181826,-14.264762,Spacky's Nightshift,0
-19.959188,8.97428,Nana in the Dark,0
-16.810291,-14.588017,Shout Of Survival,0
-17.555756,6.513974,Evdeki Lanet,0
-20.202053,8.782993,Creepy Vision,0
-10.661317,4.7162085,Leave The Red,0
20.702549,15.4809065,Alone in the Dark 1,0
-20.73549,9.52992,Daughter of Shadows: An SCP Breach Event,0
-17.575912,6.6851563,Lumber Island - That Special Place,0
-16.691296,-13.458879,REVERSE SIDE Demo,0
-20.202055,8.782993,The Piano,0
5.829063,-6.194507,The Escape from Bungalow,0
-20.174482,8.797088,Skinny,0
-16.836905,9.318285,Doors,0
-16.557322,-14.77757,The Legend: A University Story,0
-17.917011,6.549386,Kuchisake Onna - 口裂け女,0
-20.145794,8.933777,Project Z,0
-17.343967,-14.052035,Midnight Evil,0
-19.520859,7.990366,Statues,0
-9.853651,2.8321903,Kraven Manor,0
-20.194435,8.764622,Pineview Drive - Homeless,0
-16.380596,-15.185296,New kind of adventure,0
-16.799625,9.289753,Montague's Mount,0
-24.83498,-12.0678,Hide The Body,0
-20.798216,-16.758873,Creator's Chasm,0
-19.373266,7.368343,Paper Dolls: Original / 纸人,0
-20.822609,7.260217,Infernales,0
-16.51265,-14.63381,Caretaker Sacrifice,0
-20.430616,8.926428,Last Neighbor,0
-16.923073,6.988576,Heliophobia,0
-18.730305,8.750808,The 13th Doll: A Fan Game of The 7th Guest,0
-21.587753,8.814957,Damned Hours,0
-15.700035,-11.921234,MOMO.EXE VR,0
-19.071434,9.071197,夕生 Halflight,0
-17.172668,-14.325179,Pineview Drive Demo,0
-17.191761,-14.33112,Araha : Curse of Yieun Island,0
2.176955,7.8001685,Horatama,0
23.526154,20.566662,The Darkest Woods,0
-17.479239,-20.106125,One Way To Die,0
-8.231664,-3.0606637,Hidden,0
-17.635796,6.715962,TheMemory,0
-18.703144,8.829973,The Godbeast,0
-20.202051,8.782998,Project X,0
-17.03341,-14.624465,Devil's Bluff,0
-17.270542,6.3990912,Fractured Minds,0
-20.367899,1.115524,In Passing,0
-18.115833,6.511108,Zelle,0
-30.42489,-7.4671345,Alone In The Forest VR,0
-16.665236,5.828774,Greetings,0
-16.499882,-14.843229,Dungeon Nightmares II : The Memory,0
20.702545,15.4809065,Alone in the Dark 1,0
28.110142,1.3139312,Escape from Kyoto House,0
-19.895254,8.873731,Perhaps When We Dream,0
-15.098366,7.513157,MOMO.EXE,0
-20.430618,8.926438,Bedtime Blues,0
-17.11119,-14.933257,A Walk in the Woods,0
-24.863865,-12.166309,The Spirit Underneath,0
23.747957,20.76315,Last Half of Darkness - Society of the Serpent Moon,0
-14.9062605,6.6435227,Cat or Bread?,0
-16.389301,-14.855412,Shadowrain,0
23.736975,20.692163,Baron Wittard,0
-24.895445,-12.107669,Not Our Home: Platinum Edition,0
-17.775284,6.9846745,Dark Echo,0
-20.174482,8.797088,Goodnight Butcher,0
-16.440012,-15.053449,Black Rose,0
-20.860165,9.175668,Under The Ground,0
-17.421831,7.0968227,Into The Gloom,0
-20.239147,7.179272,BISQUE DOLL,0
-17.49776,6.8848023,Darkness Within 2: The Dark Lineage,0
-16.274391,-1.2394636,The Experiment: Escape Room,0
-6.9429317,34.523342,Unborne,0
-25.012995,-12.110973,Bashed.OS,0
-20.339508,-16.703789,Hellblade: Senua's Sacrifice VR Edition,0
-17.510578,7.0770526,FM,0
-20.840963,8.757288,The Childs Sight,0
-17.172667,-14.32518,Best Friend,0
-16.45307,-14.864926,Shadow Corridor,0
-17.640228,6.6072173,Captivity,0
0.43757927,-20.270382,HIDEAWAY,0
-17.190304,-14.321667,The Momo Game,0
-16.646143,9.384597,Magdalena,0
-15.892716,-0.9253774,Missing,0
-20.202053,8.782998,THE SOUL HUNTER,0
-23.74454,-0.9766715,Grave of the Petrified,0
-24.004446,-6.44553,WREST,0
-20.689825,8.6824665,One Late Night: Deadline,0
-17.187376,-14.283001,The Watcher,0
-16.244892,-13.265152,Reiko's Fragments,0
-18.546413,10.095144,Deranged,0
-19.520863,7.9903655,Immortal Legacy: The Jade Cipher,0
-16.83243,-14.018825,Arctic alive,0
-17.181925,-14.325354,Block Granny Horror Survival,0
-20.10059,8.829757,The Darkest Woods 2,0
-17.97424,6.5883536,Adam - Lost Memories,0
23.48063,20.359268,Necronomicon: The Dawning of Darkness,0
-15.402846,-1.763339,Ghost Town Mine Ride & Shootin' Gallery,0
-1.2895619,-20.820436,Grizzly Valley,0
-16.966341,6.847231,Albino Lullaby Demo,0
-13.680401,4.858048,Kill The Bad Guy Demo,0
-19.305777,7.6751785,のっぺらぼう,0
-20.072908,8.828799,Haunted House™,0
-10.195488,4.5014825,Francisca,0
-17.906427,6.619154,Settled,0
23.445862,20.316135,Dracula 2: The Last Sanctuary,0
-24.125042,-8.3450365,REGOLA,0
-19.408134,8.970127,Mesel,0
-19.014135,9.497227,The Writer: A Change Of Identity,0
-20.857119,-16.528168,"Love, Sam",0
